id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1116,Hardly any,Hardly any,Hardly any,Only some,No,Not applicable,Strongly agree,Disagree,Not applicable,Favor,Not applicable,Government,Never married,Graduate,Average,Independent,Not applicable,Too much,Not applicable
1117,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Above average,Not str democrat,Too much,Not applicable,Other candidate (specify)
1118,A great deal,Don't know,Don't know,A great deal,No,Not applicable,Agree,Not applicable,Not applicable,Oppose,Not applicable,Not applicable,Never married,High school,Below average,Independent,Too little,Not applicable,Not applicable
1119,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,40,Private,Never married,High school,Average,Other party,Not applicable,Too much,Clinton
1120,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Divorced,High school,Above average,"Ind,near dem",Too little,Not applicable,Clinton
1121,Only some,Hardly any,Hardly any,Hardly any,Yes,Not applicable,Agree,Disagree,Not applicable,Favor,60,Private,Divorced,High school,Above average,"Ind,near rep",Not applicable,Too little,Not applicable
1122,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,40,Private,Never married,High school,Above average,Other party,About right,Not applicable,Not applicable
1123,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,40,Private,Never married,Junior college,Below average,Strong democrat,Not applicable,Too much,Clinton
1124,Only some,Hardly any,Hardly any,Hardly any,Yes,Not applicable,Agree,Strongly disagree,Not applicable,Oppose,Not applicable,Private,Divorced,Bachelor,Below average,Independent,Not applicable,Too much,Not applicable
1125,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,36,Private,Never married,High school,Above average,Strong republican,Too much,Not applicable,Trump
1126,Only some,A great deal,Hardly any,A great deal,Yes,No,Not applicable,Agree,Favor,Oppose,40,Private,Married,Bachelor,Above average,Not str democrat,Not applicable,Too much,Clinton
1127,A great deal,Hardly any,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,24,Private,Never married,High school,Average,"Ind,near rep",Too little,Not applicable,Not applicable
1128,Hardly any,Only some,Hardly any,Hardly any,No,No,Not applicable,Strongly disagree,Favor,Oppose,Not applicable,Private,Never married,High school,Above average,Strong democrat,Too little,Not applicable,Clinton
1129,Only some,Only some,Only some,A great deal,Yes,Not applicable,Strongly disagree,Disagree,Not applicable,Oppose,35,Private,Never married,Bachelor,Average,Strong democrat,Not applicable,Too much,Clinton
1130,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,Not applicable,Private,Never married,Junior college,Average,Not str republican,About right,Not applicable,Trump
1131,Only some,Only some,Hardly any,Only some,Yes,No,Not applicable,Strongly agree,Favor,Oppose,Not applicable,Private,Never married,High school,Average,"Ind,near dem",Not applicable,Too much,Clinton
1132,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,Not applicable,Not applicable,Never married,High school,Far below average,Strong democrat,Not applicable,Too much,Clinton
1133,Hardly any,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Strongly agree,Favor,Favor,Not applicable,Government,Never married,High school,Above average,Not str democrat,About right,Not applicable,Not applicable
1134,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Strongly disagree,Agree,Not applicable,Favor,40,Private,Married,Bachelor,Average,"Ind,near dem",Not applicable,Too much,Trump
1135,A great deal,A great deal,Only some,A great deal,No,No,Not applicable,Strongly disagree,Favor,Oppose,80,Private,Married,Graduate,Average,Strong republican,Not applicable,About right,Clinton
1136,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Don't know,Favor,Not applicable,Government,Widowed,High school,Average,"Ind,near rep",Not applicable,About right,Trump
1137,Only some,Hardly any,Only some,A great deal,Yes,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,60,Private,Married,Lt high school,Below average,Strong republican,Too much,Not applicable,Trump
1138,Hardly any,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Don't know,70,Private,Married,High school,Below average,Independent,Too much,Not applicable,Not applicable
1139,Only some,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Agree,Oppose,Favor,Not applicable,Private,Separated,High school,Below average,Strong republican,Don't know,Not applicable,Trump
1140,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Divorced,Bachelor,Above average,Strong democrat,Too much,Not applicable,Clinton
1141,A great deal,A great deal,Hardly any,A great deal,No,Not applicable,Agree,Agree,Not applicable,Favor,Not applicable,Private,Married,Junior college,Below average,Strong democrat,Not applicable,About right,Not applicable
1142,Only some,Hardly any,Only some,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,40,Private,Never married,Junior college,Above average,Independent,Too little,Not applicable,Not applicable
1143,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Don't know,Oppose,40,Private,Never married,High school,Below average,Independent,Not applicable,Too much,Other candidate (specify)
1144,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Strongly agree,Oppose,Favor,Not applicable,Private,Widowed,High school,Far below average,Other party,Too much,Not applicable,Trump
1145,Only some,Only some,A great deal,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Oppose,40,Private,Never married,Graduate,Average,"Ind,near dem",Not applicable,Too much,Not applicable
1146,Only some,Hardly any,Hardly any,Only some,Yes,No,Not applicable,Strongly disagree,Favor,Favor,Not applicable,Private,Never married,Bachelor,Average,"Ind,near rep",Not applicable,Too little,Not applicable
