id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1849,Only some,Only some,Only some,A great deal,No,Yes,Not applicable,Agree,Favor,Favor,Not applicable,Private,Widowed,High school,Above average,Strong democrat,Too much,Not applicable,Clinton
1850,A great deal,Only some,Only some,A great deal,No,Not applicable,Agree,Agree,Not applicable,Oppose,Not applicable,Private,Married,Lt high school,Below average,Strong democrat,Not applicable,Too little,Trump
1851,A great deal,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,40,Private,Married,High school,Average,"Ind,near dem",Too little,Not applicable,Not applicable
1852,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,60,Private,Never married,High school,Above average,Independent,Too little,Not applicable,Not applicable
1853,Only some,Hardly any,Hardly any,A great deal,Yes,Yes,Not applicable,Agree,Favor,Favor,44,Government,Never married,High school,Below average,Not str republican,Too much,Not applicable,Trump
1854,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Married,High school,Below average,Independent,About right,Not applicable,Clinton
1855,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Government,Divorced,Graduate,Average,"Ind,near dem",About right,Not applicable,Trump
1856,Only some,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Oppose,Favor,Not applicable,Private,Married,High school,Below average,"Ind,near rep",Too much,Not applicable,Trump
1857,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Agree,Strongly agree,Not applicable,Favor,Not applicable,Government,Widowed,Lt high school,Below average,Not str republican,Not applicable,Too little,Trump
1858,A great deal,A great deal,Only some,Don't know,No,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Government,Widowed,Graduate,Above average,Strong democrat,Not applicable,About right,Clinton
1859,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,40,Private,Married,High school,Average,Independent,Not applicable,Too little,Not applicable
1860,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,36,Government,Never married,Bachelor,Average,Independent,About right,Not applicable,Not applicable
1861,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Oppose,60,Private,Divorced,High school,Average,Independent,Too little,Not applicable,Not applicable
1862,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Private,Never married,High school,Average,"Ind,near dem",Not applicable,Too much,Not applicable
1863,A great deal,A great deal,Don't know,Don't know,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,36,Private,Married,Graduate,Average,"Ind,near dem",Too little,Not applicable,Not applicable
1864,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,24,Private,Divorced,Lt high school,Average,Strong republican,Not applicable,Too little,Trump
1865,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Married,Lt high school,Far below average,Other party,Not applicable,Too little,Not applicable
1866,A great deal,A great deal,A great deal,A great deal,No,Yes,Not applicable,Agree,Oppose,Favor,Not applicable,Private,Married,High school,Average,Strong republican,Not applicable,About right,Trump
1867,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,Not applicable,Private,Separated,Lt high school,Below average,Independent,Not applicable,About right,Not applicable
1868,A great deal,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,86,Private,Married,Lt high school,Below average,Not str republican,Not applicable,About right,Not applicable
1869,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Never married,Junior college,Below average,Not str democrat,Not applicable,Too much,Clinton
1870,Only some,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Strongly agree,Favor,Oppose,40,Private,Divorced,High school,Far below average,"Ind,near dem",Too much,Not applicable,Clinton
1871,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Oppose,Favor,89,Private,Divorced,Bachelor,Far below average,Independent,Too much,Not applicable,Not applicable
1872,Only some,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Strongly agree,Oppose,Don't know,Not applicable,Private,Married,Bachelor,Below average,"Ind,near rep",Not applicable,About right,Trump
1873,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,42,Private,Never married,Lt high school,Average,Independent,About right,Not applicable,Not applicable
1874,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,40,Government,Married,High school,Below average,Not str democrat,Not applicable,Too little,Not applicable
1875,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Strongly agree,Not applicable,Favor,Not applicable,Private,Married,High school,Average,"Ind,near rep",Not applicable,Too little,Not applicable
1876,A great deal,Only some,Only some,A great deal,No,Not applicable,Agree,Not applicable,Not applicable,Oppose,Not applicable,Not applicable,Married,Lt high school,Far below average,Other party,About right,Not applicable,Not applicable
1877,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Oppose,Not applicable,Private,Never married,High school,Average,Strong democrat,Not applicable,Too little,Clinton
1878,Hardly any,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Not applicable,Never married,Lt high school,Average,Independent,Too little,Not applicable,Not applicable
1879,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,40,Government,Never married,High school,Average,Independent,Not applicable,Too much,Not applicable
1880,A great deal,A great deal,Only some,A great deal,Yes,No,Not applicable,Strongly agree,Oppose,Favor,Not applicable,Private,Separated,High school,Average,Strong republican,Not applicable,About right,Not applicable
1881,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Favor,48,Private,Never married,High school,Average,"Ind,near dem",Not applicable,About right,Not applicable
1882,A great deal,Only some,Hardly any,Only some,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,Not applicable,Don't know,Separated,Lt high school,Average,Not str democrat,Too little,Not applicable,Not applicable
1883,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,Not applicable,Government,Married,High school,Don't know,"Ind,near rep",Too little,Not applicable,Not applicable
1884,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,40,Private,Never married,High school,Below average,"Ind,near rep",Too much,Not applicable,Not applicable
1885,Only some,Hardly any,Hardly any,Hardly any,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,60,Private,Married,High school,Average,Independent,Too little,Not applicable,Not applicable
1886,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,36,Government,Divorced,High school,Below average,Not str democrat,Not applicable,Too much,Not applicable
1887,Hardly any,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Oppose,Favor,Not applicable,Not applicable,Married,High school,Below average,Strong republican,Too little,Not applicable,Trump
1888,A great deal,Only some,A great deal,A great deal,No,Not applicable,Agree,Disagree,Not applicable,Oppose,Not applicable,Private,Divorced,High school,Average,"Ind,near rep",Not applicable,About right,Clinton
1889,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,55,Private,Married,High school,Average,Independent,Too little,Not applicable,Not applicable
1890,Only some,Only some,A great deal,A great deal,No,No,Not applicable,Disagree,Favor,Favor,48,Private,Married,High school,Average,"Ind,near rep",Not applicable,Too much,Not applicable
1891,Only some,Only some,Only some,Only some,No,No,Not applicable,Agree,Oppose,Favor,55,Private,Divorced,High school,Average,"Ind,near dem",Too little,Not applicable,Not applicable
1892,Only some,Hardly any,Only some,Only some,No,Not applicable,Strongly agree,Neither agree nor disagree,Not applicable,Oppose,89,Private,Never married,Lt high school,Average,Independent,Not applicable,About right,Not applicable
1893,Only some,Only some,Hardly any,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Private,Never married,High school,Below average,Independent,Not applicable,About right,Not applicable
1894,Only some,Only some,Only some,A great deal,Yes,Not applicable,Agree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,Lt high school,Below average,Not str democrat,Don't know,Not applicable,Not applicable
1895,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,40,Private,Divorced,High school,Average,Strong democrat,About right,Not applicable,Not applicable
1896,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,62,Private,Divorced,Lt high school,Below average,Independent,Not applicable,Too little,Trump
1897,Hardly any,Hardly any,Hardly any,A great deal,No,No,Not applicable,Strongly agree,Favor,Oppose,54,Private,Separated,High school,Below average,Not str democrat,Too much,Not applicable,Not applicable
1898,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Disagree,Not applicable,Oppose,38,Private,Divorced,High school,Average,Strong republican,Not applicable,Too little,Not applicable
1899,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,65,Private,Married,Lt high school,Average,Not str democrat,Not applicable,About right,Not applicable
1900,Hardly any,Hardly any,Only some,Only some,No,Not applicable,Disagree,Agree,Not applicable,Favor,20,Private,Never married,High school,Average,Not str democrat,Not applicable,About right,Clinton
1901,Hardly any,Hardly any,Only some,Only some,Yes,Not applicable,Strongly agree,Not applicable,Not applicable,Favor,75,Private,Married,Lt high school,Below average,Not str republican,About right,Not applicable,Clinton
1902,A great deal,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Private,Divorced,High school,Average,Independent,Not applicable,Don't know,Not applicable
1903,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly agree,Not applicable,Favor,Oppose,Not applicable,Private,Married,High school,Average,Independent,Don't know,Not applicable,Not applicable
1904,A great deal,Hardly any,A great deal,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,65,Private,Married,Lt high school,Below average,Not str democrat,Not applicable,Too much,Not applicable
1905,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Oppose,40,Private,Widowed,Lt high school,Average,Independent,Not applicable,About right,Not applicable
1906,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Married,High school,Average,Not str democrat,Too much,Not applicable,Not applicable
1907,Only some,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Oppose,Favor,70,Private,Divorced,High school,Average,Strong republican,Not applicable,Too little,Trump
1908,Hardly any,Only some,Only some,Only some,No,No,Not applicable,Strongly agree,Favor,Favor,34,Private,Never married,High school,Average,Independent,About right,Not applicable,Not applicable
1909,Only some,Hardly any,Only some,A great deal,No,Yes,Not applicable,Disagree,Oppose,Favor,50,Private,Married,Bachelor,Below average,Not str republican,Not applicable,Too much,Trump
1910,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,40,Private,Married,Junior college,Average,Strong republican,Too much,Not applicable,Trump
1911,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,40,Government,Widowed,Bachelor,Average,"Ind,near dem",Not applicable,About right,Not applicable
1912,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Oppose,20,Private,Married,Graduate,Average,"Ind,near dem",About right,Not applicable,Other candidate (specify)
1913,Hardly any,Only some,Hardly any,Don't know,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,30,Don't know,Divorced,High school,Below average,Strong democrat,Too little,Not applicable,Clinton
1914,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,60,Government,Divorced,High school,Average,Strong republican,Too much,Not applicable,Other candidate (specify)
1915,Only some,Hardly any,Only some,Only some,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,60,Private,Never married,High school,Below average,Strong democrat,Not applicable,About right,Not applicable
1916,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,Not applicable,Government,Married,Graduate,Average,No answer,Not applicable,Too much,No answer
1917,Only some,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Oppose,Favor,Not applicable,Government,Married,Junior college,Average,Strong republican,Too much,Not applicable,Trump
1918,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Don't know,Not applicable,Private,Never married,High school,Below average,Independent,Not applicable,Too much,Not applicable
1919,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,40,Government,Never married,High school,Below average,Not str democrat,Not applicable,About right,Clinton
1920,Only some,Hardly any,Only some,A great deal,Yes,Not applicable,Agree,Not applicable,Not applicable,Favor,60,Private,Never married,High school,Average,"Ind,near rep",About right,Not applicable,Not applicable
1921,Only some,Hardly any,Only some,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,24,Private,Married,High school,Average,Not str democrat,Too little,Not applicable,Other candidate (specify)
1922,Only some,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,89,Government,Never married,High school,Average,Not str republican,Too much,Not applicable,Clinton
1923,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,40,Government,Divorced,Bachelor,Below average,Strong democrat,Not applicable,Too much,Clinton
1924,Hardly any,Only some,Only some,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Never married,Junior college,Below average,Not str democrat,About right,Not applicable,Clinton
1925,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,45,Private,Never married,Lt high school,Below average,Not str democrat,Too much,Not applicable,Trump
1926,Only some,Hardly any,Hardly any,Only some,No,No,Not applicable,Agree,Favor,Oppose,40,Private,Divorced,Bachelor,Average,Independent,Not applicable,Too little,Not applicable
1927,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,20,Private,Never married,High school,Far above average,Independent,Not applicable,Too much,Not applicable
1928,Hardly any,Hardly any,Hardly any,Only some,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,22,Private,Never married,High school,Average,Independent,Too little,Not applicable,Not applicable
1929,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,50,Government,Never married,High school,Average,No answer,About right,Not applicable,Not applicable
1930,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,20,Private,Divorced,Bachelor,Average,Strong republican,About right,Not applicable,Trump
1931,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,30,Private,Married,High school,Below average,Strong democrat,Not applicable,Too much,Clinton
1932,Only some,Only some,Hardly any,Hardly any,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Married,Graduate,Below average,Strong democrat,Too little,Not applicable,Clinton
1933,A great deal,Only some,Only some,Only some,No,Not applicable,Agree,Agree,Not applicable,Favor,15,Private,Separated,Lt high school,Below average,Independent,Not applicable,About right,Not applicable
1934,Only some,Only some,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,Not applicable,Government,Divorced,Graduate,Below average,Not str democrat,No answer,Not applicable,Clinton
1935,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,6,Private,Divorced,High school,Above average,"Ind,near rep",Not applicable,Too little,Not applicable
1936,Only some,Only some,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,15,Private,Married,Bachelor,Above average,Strong democrat,About right,Not applicable,Not applicable
1937,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,50,Private,Married,Graduate,Above average,Not str republican,About right,Not applicable,Trump
1938,Only some,Hardly any,Only some,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Favor,Oppose,40,Government,Married,Bachelor,Far below average,Not str democrat,Too much,Not applicable,Clinton
1939,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Oppose,Favor,Not applicable,Private,Married,Bachelor,Far below average,Independent,Too much,Not applicable,Not applicable
1940,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Refused,Agree,Not applicable,Oppose,Favor,Not applicable,Private,Married,Bachelor,Above average,Strong republican,Too much,Not applicable,Trump
1941,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,50,Private,Married,Graduate,Average,Not str republican,Not applicable,Too little,Trump
1942,A great deal,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Don't know,Not applicable,Not applicable,Never married,High school,Average,Not str democrat,Too little,Not applicable,Not applicable
1943,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,Not applicable,Private,Married,Graduate,Above average,Strong republican,About right,Not applicable,Trump
1944,A great deal,Only some,Hardly any,Only some,No,Yes,Not applicable,Disagree,Oppose,Favor,Not applicable,Private,Married,High school,Far below average,Not str democrat,Not applicable,Don't know,Not applicable
1945,A great deal,Hardly any,Only some,A great deal,No,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,45,Government,Married,Graduate,Below average,Not str republican,Not applicable,About right,Not applicable
1946,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,60,Private,Married,Graduate,Above average,Independent,About right,Not applicable,Clinton
1947,Only some,Hardly any,Only some,Only some,No,Not applicable,Disagree,Disagree,Not applicable,Favor,Not applicable,Not applicable,Never married,High school,Above average,Other party,Not applicable,Too much,Clinton
1948,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,24,Private,Never married,Bachelor,Above average,Not str democrat,Too little,Not applicable,No answer
1949,Don't know,Hardly any,Only some,A great deal,Yes,Not applicable,Agree,Neither agree nor disagree,Not applicable,Favor,Not applicable,Private,Married,High school,Average,Strong republican,Not applicable,Too much,Trump
1950,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,55,Government,Never married,Bachelor,Below average,Other party,Too much,Not applicable,Other candidate (specify)
1951,A great deal,Only some,Hardly any,A great deal,No,No,Not applicable,Strongly disagree,Favor,Oppose,Not applicable,Private,Divorced,High school,Average,Not str democrat,Not applicable,About right,Clinton
1952,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,24,Private,Divorced,Bachelor,Average,Not str republican,Not applicable,About right,Trump
1953,A great deal,Hardly any,Hardly any,Only some,No,No,Not applicable,Disagree,Oppose,Don't know,Not applicable,Private,Divorced,Junior college,Far above average,"Ind,near rep",Too little,Not applicable,Trump
1954,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,Not applicable,Private,Divorced,High school,Average,Strong republican,Too little,Not applicable,Trump
1955,A great deal,Hardly any,Only some,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,45,Private,Never married,High school,Below average,"Ind,near rep",Too much,Not applicable,Not applicable
1956,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Favor,60,Private,Never married,High school,Below average,"Ind,near dem",Not applicable,About right,Not applicable
1957,Only some,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,50,Government,Divorced,Bachelor,Above average,Not str republican,Not applicable,About right,Don't know
1958,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly agree,Not applicable,Oppose,Favor,56,Private,Divorced,Junior college,Average,Strong republican,Too much,Not applicable,Trump
1959,Only some,Hardly any,Only some,A great deal,Yes,Yes,Not applicable,Strongly agree,Oppose,Favor,Not applicable,Private,Married,High school,Below average,Strong democrat,Not applicable,About right,Trump
1960,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,Not applicable,Government,Married,High school,Average,Strong democrat,Not applicable,Too much,Not applicable
1961,Hardly any,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Oppose,Favor,22,Don't know,Divorced,High school,Below average,Not str republican,Too much,Not applicable,Trump
1962,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,40,Private,Married,High school,Average,Independent,Too much,Not applicable,Not applicable
1963,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Refused,Agree,Not applicable,Favor,Oppose,40,Government,Married,Graduate,Far below average,Independent,Not applicable,About right,Don't know
1964,A great deal,A great deal,Only some,A great deal,Yes,Not applicable,Agree,Neither agree nor disagree,Not applicable,Favor,54,Private,Divorced,Lt high school,Far below average,Independent,Not applicable,About right,Not applicable
1965,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,48,Private,Married,High school,Below average,Independent,Not applicable,About right,Not applicable
1966,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,40,Private,Married,High school,Below average,Not str democrat,About right,Not applicable,Clinton
1967,A great deal,Hardly any,Don't know,Don't know,No,Not applicable,Strongly agree,Not applicable,Not applicable,Oppose,Not applicable,Not applicable,Married,Lt high school,Far below average,Independent,About right,Not applicable,Not applicable
1968,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Divorced,High school,Below average,Strong democrat,Not applicable,About right,Clinton
1969,Hardly any,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Agree,Favor,Oppose,50,Private,Divorced,High school,Above average,Independent,About right,Not applicable,Not applicable
1970,Only some,Only some,Hardly any,Don't know,No,No,Not applicable,Strongly disagree,Favor,No answer,Not applicable,Government,Never married,Bachelor,Below average,Other party,Not applicable,Too much,Clinton
1971,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,54,Government,Divorced,High school,Average,Not str republican,Too much,Not applicable,Not applicable
1972,Only some,Only some,Only some,Only some,Yes,No,Not applicable,Disagree,Oppose,Oppose,40,Private,Never married,High school,Average,"Ind,near dem",Not applicable,Too much,Clinton
1973,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Oppose,Not applicable,Private,Never married,High school,Average,Strong democrat,Not applicable,Too much,Clinton
1974,Only some,Hardly any,Only some,A great deal,No,Refused,Not applicable,Agree,Favor,Favor,44,Government,Married,High school,Average,"Ind,near rep",Too much,Not applicable,Trump
1975,Only some,Hardly any,Only some,Only some,No,Not applicable,Strongly agree,Agree,Not applicable,Favor,35,Private,Married,Lt high school,Below average,Independent,Not applicable,About right,Not applicable
1976,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Married,High school,Above average,Strong republican,About right,Not applicable,Trump
1977,Only some,A great deal,Only some,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Oppose,Oppose,Not applicable,Private,Never married,Junior college,Average,Not str republican,Not applicable,About right,Not applicable
1978,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Agree,Not applicable,Not applicable,Favor,60,Government,Never married,Bachelor,Below average,"Ind,near rep",Too much,Not applicable,Trump
1979,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,45,Private,Separated,Lt high school,Far below average,Independent,Not applicable,Too little,Not applicable
1980,Only some,Only some,Only some,Don't know,Yes,No,Not applicable,Strongly agree,Favor,Oppose,40,Private,Married,Lt high school,Far below average,Independent,Don't know,Not applicable,Not applicable
1981,Hardly any,Only some,Only some,A great deal,Yes,Not applicable,Disagree,Strongly agree,Not applicable,Oppose,Not applicable,Private,Never married,High school,Below average,Strong democrat,Not applicable,Too much,Clinton
1982,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Favor,Not applicable,Private,Separated,High school,Average,Strong democrat,Too little,Not applicable,Clinton
1983,Only some,Only some,Only some,A great deal,Yes,Yes,Not applicable,Agree,Favor,Favor,70,Private,Never married,Graduate,Average,"Ind,near dem",Not applicable,Too much,Clinton
1984,Only some,Only some,Only some,Hardly any,Yes,Not applicable,Agree,Not applicable,Not applicable,Oppose,40,Government,Never married,Bachelor,Far above average,"Ind,near dem",Too little,Not applicable,Not applicable
1985,A great deal,Hardly any,Only some,A great deal,Yes,No,Not applicable,Strongly agree,Oppose,Oppose,Not applicable,Private,Never married,High school,Far below average,"Ind,near rep",Too little,Not applicable,Not applicable
1986,Only some,Hardly any,Hardly any,Hardly any,Yes,Not applicable,Disagree,Agree,Not applicable,Oppose,40,Private,Married,High school,Below average,"Ind,near dem",Not applicable,About right,Clinton
1987,A great deal,Hardly any,Hardly any,Hardly any,Yes,No,Not applicable,Strongly agree,Oppose,Oppose,16,Private,Never married,High school,Average,Independent,Not applicable,Too much,Not applicable
1988,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Far below average,Not str republican,Not applicable,About right,Not applicable
1989,Only some,Hardly any,Hardly any,Hardly any,Yes,No,Not applicable,Strongly agree,Favor,Oppose,Not applicable,Government,Never married,High school,Average,Independent,Too little,Not applicable,Not applicable
1990,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Agree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Government,Divorced,High school,Above average,Not str democrat,Not applicable,About right,Clinton
1991,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,18,Private,Never married,Lt high school,Far below average,Strong republican,About right,Not applicable,Not applicable
1992,A great deal,A great deal,Only some,Only some,No,No,Not applicable,Disagree,Oppose,Oppose,Not applicable,Private,Widowed,Lt high school,Average,Independent,Not applicable,About right,Not applicable
1993,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Don't know,Not applicable,Oppose,Don't know,Not applicable,Private,Never married,High school,Average,Independent,Not applicable,Don't know,Not applicable
1994,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,Not applicable,Private,Divorced,Lt high school,Far below average,Independent,About right,Not applicable,Not applicable
1995,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Don't know,Oppose,Not applicable,Private,Divorced,Lt high school,Below average,Independent,About right,Not applicable,Not applicable
1996,Hardly any,Only some,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Government,Married,Junior college,Above average,"Ind,near dem",About right,Not applicable,Clinton
1997,Only some,A great deal,Hardly any,Only some,No,Not applicable,Strongly disagree,Disagree,Not applicable,Oppose,Not applicable,Private,Married,High school,Below average,Not str democrat,Not applicable,About right,Clinton
